84CF	勏	ukln	uket	bu4
84D0	勑	swwl	swwe	lai4
84D1	勓	xxrl	xxre	kai4
84D2	勔	dmjl	dlje	mian3
84D3	動	tgjl	tgje	dong4
84D4	勗	jegl	jege	xu4
84D5	務	cbtl	cnhe	wu4
84D6	勚	anml	anme	yi4
84D7	勛	kmln	kmet	xun1
84D8	勜	wcnl	wcne	weng3
84D9	勝	eudl	euge	sheng4
84DA	勞	oopl	oope	lao2
84DB	勠	nwel	nwee	lu4
84DC	勡	sfil	sfie	piao4
84DD	勢	fwfl	fwfe	shi4
84DE	勣	gmln	gmet	ji4
84DF	勥	xkjl	xkje	qiang3
84E0	勦	vjsl	vjse	jiao3,chao1
84E1	勧	rwyl	tgwe	quan4
84E2	勨	qjel	qkee	xiang4
84E3	勩	anml	anme	yi4
84E4	勪	tdkl	tdke	jue2,qiao1
84E5	勫	toll	tole	fan1
84E6	勬	udxl	ugxe	juan1
84E7	勭	ujfl	ujfe	tong2,dong4
84E8	勮	hael	hgee	ju4
84E9	勯	ylkl	ylke	dan1
84EA	勱	ajml	ajme	mai4
84EB	勲	tgjo		xun1
84EC	勳	tgll	tgle	xun1
84ED	勴	hall	hlne	lv4
84EE	勵	dajl	daje	li4
84EF	勶	tycl	tyce	che4
84F0	勷	ykkl	ykke	xiang1,rang2
84F1	勸	akkl	akke	quan4
84F2	勻	qfd		yun2
84F3	勼	qvv		jiu1
84F4	勽	qwi		bao4
84F5	匁	qqi	qri	
84F6	匂	qxv		xiong1
84F7	匃	qwnv		gai4
84F8	匄	qynv		gai4
84F9	匇	qqi		
84FA	匉	qguh	qguf	peng1
84FB	匊	qoi		ju1
84FC	匋	qrmk	qtfb	tao2
84FD	匌	qwgk		ge2
84FE	匎	qdjn		e4
8540	匑	qtmx		gong1
8541	匒	qawk		da2
8542	匓	qvcc	qvwc	jiu4
8543	匔	qtmk		gong1
8544	匘	xvtq	xvtr	nao3
8545	匛	aqyi		jiu4
8546	匜	abv		yi2
8547	匞	aad		jiang4
8548	匟	aymv	aywv	kang4
8549	匢	aqre		hu1
854A	匤	agyi		qu1
854B	匥	acak		fan2
854C	匧	adww		qie4
854D	匨	anhf	aufd	cang2,zang1
854E	匩	abhg		kuang1
854F	匫	aqrj		hu1
8550	匬	awgj		yu3
8551	匭	alvv		gui3
8552	匯	aiwy		hui4
8553	匰	akkf		dan1
8554	匱	akhm		gui4
8555	匲	adkk		lian2
8556	匳	awgw		lian2
8557	匴	atha		suan3
8558	匵	aflm		du2
8559	匶	aawv	aawe	jiu4
855A	匷	ahhy		qu2
855B	匸	agn		xi4
855C	匼	awgk		ke1
855D	匽	ajvd		yan3
